
# ============================
# 1. GENERAL / COMMON SYMPTOMS
# ============================
fever|high temperature,"Fever may indicate infection.","Rest and drink fluids.",0
chills,"Chills often accompany fever.","Stay warm and hydrated.",0
fatigue|tiredness,"Common in illness or stress.","Rest and stay hydrated.",0
weakness,"General weakness has many causes.","Rest and eat light meals.",0
loss of appetite,"May occur during infections.","Eat small, light meals.",0
unintentional weight loss,"May indicate underlying illness.","Seek medical check.",1
night sweats,"May occur with infection or stress.","Stay cool and hydrated.",0
body aches|body pain,"Common with viral infections.","Rest and consider warm compress.",0
dehydration,"Caused by low fluid intake.","Drink water or ORS.",1
sweating excessively,"May be heat or anxiety related.","Stay cool and drink water.",0
cold sweats,"Can indicate low sugar or stress.","Sit and hydrate.",1

# ============================
# 2. RESPIRATORY SYMPTOMS
# ============================
cough,"Cough may be viral or allergic.","Stay hydrated.",0
dry cough,"Often viral or irritant.","Avoid dust and smoke.",0
wet cough|productive cough,"Mucus-related cough.","Hydrate and rest.",0
cold|common cold,"Usually viral.","Rest and warm fluids.",0
runny nose,"Common with cold or allergy.","Stay hydrated.",0
blocked nose|nasal congestion,"Common cold symptom.","Use steam inhalation.",0
sneezing,"Often allergy-related.","Avoid allergens if known.",0
shortness of breath|difficulty breathing,"May indicate serious issue.","Seek medical help.",1
wheezing,"Common in asthma.","Avoid triggers and rest.",1
chest tightness,"May be respiratory or cardiac.","Seek medical evaluation.",1
breathing fast|rapid breathing,"Can indicate distress.","Seek emergency help.",1
persistent cough,"May be infection-related.","Seek medical check.",0

# ============================
# 3. ENT (EAR, NOSE, THROAT)
# ============================
sore throat|throat pain,"Common with infection.","Warm liquids.",0
throat dryness,"Irritation or dehydration.","Drink warm water.",0
difficulty swallowing,"May indicate throat swelling.","Eat soft foods.",1
loss of voice,"Often from overuse.","Rest your voice.",0
ear pain|earache,"Often infection or wax.","Avoid inserting objects.",0
itchy ear,"May be dryness or wax.","Do not use cotton buds.",0
ear ringing|tinnitus,"Often noise-related.","Avoid loud sounds.",0
hearing loss,"May be wax or infection.","Seek check if persistent.",0
nasal bleeding|nosebleed,"Often from dryness.","Pinch nose and lean forward.",0

# ============================
# 4. DIGESTIVE & GASTROINTESTINAL
# ============================
stomach pain|abdominal pain,"Common in many conditions.","Eat light and hydrate.",0
bloating|gas,"Often diet-related.","Avoid fizzy drinks.",0
indigestion|dyspepsia,"Often from heavy meals.","Avoid oily foods.",0
heartburn|acid reflux,"Stomach acid irritation.","Avoid lying after meals.",0
nausea,"Common digestive symptom.","Take small sips of fluids.",0
vomiting,"Can cause dehydration.","Drink ORS in small sips.",1
diarrhea,"Often infection or food.","Drink ORS.",0
constipation,"Low fiber or dehydration.","Drink water, eat fiber.",0
food poisoning,"Usually contaminated food.","Hydrate and rest.",0
gastric pain,"Common after large meals.","Avoid spicy foods.",0
loss of taste,"May follow infections.","Rest and hydrate.",0
loss of smell,"Common in viral infections.","Monitor symptoms.",0
acidic taste,"May be reflux.","Avoid acidic foods.",0
belching|burping,"Gas buildup.","Eat slowly.",0
hiccups,"Usually harmless.","Sip cold water.",0
bloody stool,"May indicate serious issue.","Seek urgent care.",1
black stool,"Possible bleeding.","Seek emergency care.",1
rectal pain,"May be irritation.","Increase fiber intake.",0
anal itching,"Often irritation.","Keep area clean and dry.",0

# ============================
# 5. NEUROLOGICAL SYMPTOMS
# ============================
headache,"Common from stress or dehydration.","Drink water and rest.",0
migraine,"Severe headache episodes.","Rest in a dark room.",0
dizziness|lightheaded,"May be dehydration.","Sit and drink fluids.",0
vertigo,"Spinning sensation.","Sit still and avoid sudden moves.",0
fainting|passed out,"Can be serious.","Seek immediate medical help.",1
confusion|disorientation,"May indicate serious issue.","Seek urgent care.",1
memory loss,"May indicate neurological issue.","Seek medical evaluation.",1
numbness|tingling,"Often nerve compression.","Change posture.",0
hand tremor|shaking hands,"Often stress or fatigue.","Rest and limit caffeine.",0
